,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
34,Beau Hossler,5,5,2,4,4,4,3,3,5,4,3,4,3,5,4,6,3,5,4,4,4,4,4,5,4,3,3,5,4,3,4,4,4,3,4,4,4,4,3,3,6,4,5,2,3,4,4,2,4,5,6,3,5,4,4,4,5,3,4,4,3,2,4,4,5,3,3,7,8,5,4,4
35,Abraham Ancer,5,5,3,4,4,4,3,4,4,3,3,3,3,5,4,5,3,4,4,3,6,3,4,4,5,3,3,5,5,3,4,4,5,4,4,3,4,3,4,2,4,4,5,3,4,5,5,3,4,3,4,4,4,6,4,4,4,3,4,5,6,4,3,4,6,4,5,4,4,4,4,5
36,J.T. Poston,4,6,3,5,5,4,3,5,4,6,4,4,5,5,4,4,3,4,4,4,3,2,5,4,5,2,3,5,5,3,3,3,5,3,5,4,4,5,4,3,4,4,4,4,4,5,6,3,4,4,4,3,5,4,4,3,4,3,4,5,4,2,5,5,4,3,4,4,6,3,3,4
37,Wyndham Clark,4,4,3,3,5,3,4,2,4,5,4,3,4,5,5,3,3,4,4,5,4,4,5,3,3,5,5,4,5,4,3,4,4,5,4,5,4,4,3,2,5,4,5,4,4,4,5,5,4,3,5,4,4,4,4,4,3,4,5,4,5,3,4,4,6,3,4,4,4,3,5,4
38,Mackenzie Hughes,3,5,2,5,4,4,2,6,4,3,3,4,4,5,3,4,3,3,4,4,4,3,6,4,5,3,4,4,5,2,5,4,5,3,4,4,4,5,5,3,4,4,5,3,4,5,5,3,4,4,5,4,5,4,4,4,4,4,4,4,5,3,4,5,6,2,4,5,4,3,5,4
39,Martin Laird,4,4,4,4,5,4,5,3,4,4,5,3,3,3,5,4,4,4,4,5,3,4,4,6,2,4,4,4,4,4,2,5,4,5,4,5,4,4,4,2,5,4,5,3,6,3,5,4,4,3,4,3,4,4,4,4,4,3,5,7,4,4,4,4,4,3,4,4,4,3,4,5
40,David Lipsky,5,4,4,5,5,5,4,3,3,4,4,4,3,4,4,3,4,3,4,6,3,3,4,4,3,4,4,3,3,3,4,5,5,4,4,4,5,4,4,4,5,4,5,3,4,4,4,3,4,4,5,3,4,4,4,5,6,3,5,5,5,3,4,3,5,2,5,4,5,4,4,4
41,Keegan Bradley,4,5,2,4,4,4,3,5,3,4,5,3,3,6,3,4,3,4,4,4,4,3,5,4,5,3,4,6,5,3,4,4,5,4,4,4,4,3,3,3,4,5,5,3,4,3,4,2,4,4,6,3,4,5,5,5,6,3,5,4,5,3,4,5,5,3,4,5,4,4,4,3
42,Matthew NeSmith,4,4,4,3,4,5,4,4,4,4,5,2,3,4,5,3,3,4,4,4,3,3,4,5,4,4,4,4,4,5,3,5,5,4,3,4,4,4,4,3,5,4,4,3,5,4,4,3,3,4,5,3,4,4,5,5,5,4,6,3,6,3,4,4,4,3,5,4,6,3,4,5
43,Jhonattan Vegas,5,3,4,3,5,4,4,4,4,4,4,3,3,3,5,3,4,4,5,5,2,4,4,4,2,3,5,4,4,4,3,4,4,5,3,4,4,4,3,3,4,4,6,2,5,4,5,4,3,4,5,3,4,4,4,4,5,4,6,4,5,3,5,4,5,3,4,4,6,4,5,6
44,Adam Svensson,4,4,4,3,3,4,6,3,5,6,4,3,4,3,5,3,4,4,4,5,4,4,4,4,3,5,4,3,4,4,3,4,4,4,3,5,4,4,3,4,6,4,5,3,4,6,6,2,5,3,6,3,5,3,4,3,4,3,5,4,5,2,3,3,5,3,5,6,5,3,5,4
45,Matt Kuchar,4,4,4,2,5,4,4,3,4,4,5,3,4,4,4,3,3,6,5,5,3,5,5,5,3,4,3,4,4,4,3,5,5,4,3,5,3,4,4,4,5,4,5,3,3,5,4,3,5,4,5,3,4,4,4,5,4,3,5,4,6,3,3,3,6,3,3,5,5,3,4,5
46,Sepp Straka,3,5,3,4,4,4,3,4,4,4,4,4,4,5,4,5,4,3,4,3,5,3,4,4,5,3,4,5,5,3,4,4,4,2,4,4,6,4,4,3,4,5,6,3,4,3,5,4,4,3,5,3,4,4,5,5,4,3,6,4,5,3,4,4,4,3,4,4,5,5,4,4
47,David Lingmerth,4,4,4,3,5,5,5,3,5,4,4,3,4,5,5,2,5,4,4,5,3,5,4,5,2,4,3,5,4,4,3,5,4,4,5,3,5,3,3,3,5,4,5,4,5,5,4,2,4,4,4,3,4,6,5,4,4,3,4,3,5,3,4,4,5,4,4,4,4,4,4,5
48,Lucas Herbert,4,5,2,5,4,4,3,5,3,4,3,4,3,4,4,5,3,5,4,4,6,3,5,5,5,2,4,4,5,5,4,4,3,3,5,5,4,4,4,2,6,4,5,3,4,3,5,3,5,4,4,3,4,3,3,4,6,3,5,5,5,4,5,4,5,4,3,3,5,3,5,4
49,Cameron Tringale,5,4,4,3,5,5,5,3,4,4,4,3,3,4,4,4,5,4,5,4,3,4,4,5,2,4,5,4,4,3,4,5,4,4,3,3,4,5,4,3,5,3,5,3,4,4,4,2,5,5,4,3,4,4,5,4,6,3,7,4,5,3,4,5,5,3,5,4,4,3,4,4
50,Viktor Hovland,5,4,3,5,4,5,4,2,4,4,5,2,4,4,4,3,4,5,4,5,3,6,4,4,3,4,4,4,4,4,4,4,4,5,3,4,3,4,3,3,6,6,5,4,6,6,4,2,5,4,4,4,4,5,4,3,4,2,5,4,6,2,4,4,5,3,4,4,5,3,5,4
51,Lanto Griffin,5,4,5,3,4,5,3,4,5,5,4,4,4,5,3,4,3,4,4,5,6,3,4,4,4,3,3,4,5,3,3,3,5,4,5,4,4,6,4,3,5,4,4,3,4,5,5,3,4,4,5,3,4,6,4,4,3,4,4,5,5,3,3,3,4,5,6,4,4,2,4,4
52,Cam Davis,4,4,3,4,4,4,3,4,6,4,4,4,3,4,4,5,3,4,4,6,4,3,5,4,4,3,4,4,5,3,4,3,5,3,6,5,4,4,5,2,4,4,4,3,4,5,7,3,4,4,6,3,6,6,4,4,5,3,4,4,4,3,5,4,4,3,4,4,4,3,4,4
53,Camilo Villegas,4,5,4,4,4,5,3,5,4,4,4,4,3,5,3,5,3,4,5,4,4,3,5,4,4,2,4,5,5,3,4,5,5,3,4,3,4,4,4,3,6,4,5,3,5,6,5,4,4,4,6,3,4,4,4,4,3,2,6,4,4,3,4,4,5,4,4,4,5,3,4,4
